# Systematics
Stat,Syst
# Measurements
dil8 172.99,0.41,0.737871262484
ljets7 172.33,0.75,1.0360019305
dil7 173.79,0.54,1.30835774924
ljets8 172.08,0.39,0.821460285102
allhad8 173.72,0.55,1.01197825655
allhad7 175.06,1.35,1.21338369859
# Correlations
dil8_ljets7 0.0,0.00211920931113
ljets7_dil8 0.0,0.00211920931113
dil7_dil8 0.0,0.635032384543
dil8_dil7 0.0,0.635032384543
dil8_ljets8 0.0,-0.238677408356
ljets8_dil8 0.0,-0.238677408356
ljets7_ljets8 0.0,-0.099596439224
ljets8_ljets7 0.0,-0.099596439224
allhad8_dil7 0.0,0.0854965784085
dil7_allhad8 0.0,0.0854965784085
dil7_ljets8 0.0,0.0718948578978
ljets8_dil7 0.0,0.0718948578978
allhad7_ljets8 0.0,-0.0975273032299
ljets8_allhad7 0.0,-0.0975273032299
allhad7_dil8 0.0,0.488740930671
dil8_allhad7 0.0,0.488740930671
allhad8_ljets7 0.0,-0.0239409828469
ljets7_allhad8 0.0,-0.0239409828469
allhad7_allhad8 0.0,-0.0423481074433
allhad8_allhad7 0.0,-0.0423481074433
allhad8_ljets8 0.0,-0.0403705065969
ljets8_allhad8 0.0,-0.0403705065969
allhad7_dil7 0.0,0.679164004606
dil7_allhad7 0.0,0.679164004606
allhad7_ljets7 0.0,-0.0186147469465
ljets7_allhad7 0.0,-0.0186147469465
dil7_ljets7 0.0,-0.0956869915581
ljets7_dil7 0.0,-0.0956869915581
allhad8_dil8 0.0,0.404159756601
dil8_allhad8 0.0,0.404159756601
